classtxt,classkey
"Not rated, area reclaim",1057
Not a subaqueous soil,1058
B-2,1059
"Not rated, not subaqueous",1060
Surface Cobbles,1061
Not suited - salinity,1062
Soil has a high ecec/cec > 5.0 meq/100 g,1063
Potential source PM 10,1064
Low clay content,1065
"Organic matter content, 0-30 cm",1066
Not suited - surface fragments,1067
High Sustainability,1068
50,1069
Geologic Substrate,1070
"YES, NP(W)FSG-025 Sandy",1071
Texture/surface layer thickness/rock fragments,1072
"No non-lithic bedrock observed in 60""",1073
Suited (with limitations to overcome),1074
Not rated; EC max 0-51cm,1075
Well suited - surface fragments,1076
Seepage,1077
slope> 8% Very limiting,1078
CTSG 5,1079
Slow percolation <60 inches,1080
Very Severe,1081
Not Permitted - Too Steep,1082
Moderately limited,1083
Slight slope limitation,1084
22,1085
High intake,1086
Unsuitable sand content,1087
CTSG 4CC,1088
Very Rare Flooding,1089
Rooting depth limitation (moderate),1090
"Salinity, sodium",1091
120,1092
Unsuitable - Weighted clay 0-20,1093
CTSG 3,1094
Soil has a deep water table 100 to 150 cm,1095
Not rated; Organic soil,1096
"Bedrock, above 27 inches",1097
Depth to cemented layer,1098
Moderately high,1099
Disturbed soil condition,1100
Low adsorption by clay,1101
Moderately low inherent productivity,1102
No permafrost limitation,1103
Rutting in March,1104
"Existing electrical conductivity, 0-30cm",1105
Avg Ksat 0-100cm high,1106
~high water table  (winter-early spring),1107
poorly suited - Surface fragments,1108
Cemented pan,1109
Insufficient groundwater,1110
"Not rated, physical properties",1111
Too gravelly,1112
"AWC from 4 - 6""",1113
"Provisionally Suitable - Fragic Layer 20-40""",1114
Too shallow or too deep,1115
"Depth:35-48""",1116
CTSG 6DK,1117
Provisionally Suitable - Slope 3-8%,1118
Moderately - abrupt boundary,1119
Grade 2 - Good,1120
High potential frost action,1121
Not rated (too variable),1122
Not rated - null values,1123
Low antecedent organic matter content,1124
CTSG 6GK,1125
"FSG-NP(W)-006-Clayey, Dry-Saline",1126
Soil is Shallow to Root Limiting Layer < 50 cm,1127
Not Suited - Flooding,1128
Suitable,1129
Not suited - abrupt boundary,1130
Content of clay,1131
Gravel Mixes Group,1132
"Not rated, Slope, Slope Length",1133
Somewhat - soil moisture regime,1134
AWC 35 cm - 15 cm,1135
Soil Does Not Meet Prime Criteria,1136
Acid pH,1137
Bulk density response,1138
"Bedrock, above 20 inches",1139
Cemented Pan,1140
"Water table, flooding, ponding",1141
CTSG 4A,1142
Droughty (but not wet),1143
Shallow depth to fragipan,1144
Semi-dry,1145
Year Round,1146
Soil has a shallow water table < 50 cm,1147
5,1148
Depth to high water,1149
49,1150
Subsidence risk severe,1151
Landslides,1152
Moderately high irrigated productivity,1153
Moderately high inherent productivity,1154
Very high PM10,1155
Poorly Suited,1156
SIC >1.0-10 kg/m2,1157
Slopes,1158
Moderately Well Suited,1159
Too steep for surface application,1160
"Clay loam, silty clay loam, or sandy clay loam in 0 to 30-inches depth",1161
Shallow depth to bedrock,1162
Not rated; Restricted percolation,1163
Partly suited for crop growth,1164
"Pergelic, low therm material or lo-sk < 50 cm thick over sandy, no frequent ponding",1165
SIC >10-25 kg/m2,1166
"Gravel-size fragments are 35 to 60 percent by volume, 0-30 inches depth",1167
Not a miscellaneous area,1168
Too dense,1169
>8mmhos salinity (too salty),1170
10,1171
"Not rated, organic matter",1172
well suited - Wet Layer,1173
Poor Filter,1174
Fine Sands,1175
19,1176
Water table at less than 18 inches depth,1177
Pro Suitable - Depressional Landform,1178
"Bedrock (soft) < 40"" depth",1179
Too arid,1180
Coarse texture,1181
110,1182
Low adsorption capacity,1183
Texture: Well suited,1184
Restriction,1185
Slope shape across,1186
CTSG 3A,1187
Very firm or firmer consistence,1188
Low organic matter,1189
Moderate suitability,1190
Depth to restrictive layer,1191
Area reclaim (rock fragments),1192
Somewhat suitable pH,1193
Very limited rooting depth (dense till),1194
Very rare flooding,1195
MDU: Moderately deep upland,1196
WT 75 to 100 cm - moderately suited,1197
"Potential fast percolation >10""",1198
"Bioavailability low due to CEC, pH, or organic sorption",1199
Water Erosion,1200
"Fast percolation >12""",1201
Soil saturation,1202
LyO: Loamy Overflow,1203
Adsorptive capacity due to CaCO3,1204
No limitations,1205
66,1206
Excess sulfur,1207
Depth to Min Water Table,1208
Depth to saturation,1209
"Provisionally Suitable - Bedrock 60-80""",1210
AWC <8 cm,1211
Ponds,1212
CTSG 4K,1213
Not limited (soil morphological evaluation needed),1214
Many rock outcrops,1215
Depth to bedrock or cemented pan,1216
Clodding,1217
"Not rated, growing season",1218
"Watertable: < 6""",1219
slightly limited,1220
CTSG 9NW,1221
Surface salinization risk,1222
Very Fluid,1223
Limited,1224
Slope > 15%,1225
Component interpretable,1226
Unsuited,1227
Ksat >1.0 to 10.0 um/sec,1228
No permafrost depth limitation,1229
"Provisionally Suitable - Group IVb: >24""",1230
~large surface cover stones,1231
Deep to Very deep to caliche,1232
Sodium content,1233
Group 4,1234
Flooding >= frequent in growing season,1235
Slope 8-25%; trench systems only,1236
Frost action,1237
Somewhat Suited - Ponding,1238
LyU: Loamy upland,1239
"Not rated, fragments 36-60 inches",1240
pH somewhat limiting,1241
High vegetative cover,1242
Not Restricted,1243
Large surface stones,1244
pH limitation within 30 cm,1245
"Bedrock, above 58""",1246
Cracks to rock,1247
Not rated; Soil Reaction pH,1248
2 to 3% slope - moderately suited,1249
180,1250
Not rated; pH,1251
Water table,1252
FSG-NP(W)-049-Steep Slopes,1253
High carbonate content,1254
"YES, NP(W)FSG-005 Clayey, Dry-Mod. Saline",1255
Parent material,1256
>= 35% Rock Frags,1257
Adsorption by clay,1258
Excess lime,1259
57,1260
Low risk,1261
Not limiting,1262
CEC or ECEC is > 3 to 5,1263
Silt null,1264
Subsidence hazard,1265
Excess humus,1266
rolling to nearly level slope,1267
Unsuitable - Slope >30%,1268
EC > 8 dS/m,1269
High potential,1270
"YES, NP(W)FSG-024 Loamy, Saline",1271
Static factors,1272
SOC >10-25 kg/m2,1273
Permafrost present,1274
Very poor,1275
Low to Very Low Sustainability,1276
Not rated; Kfact,1277
Highly Permeable Soils,1278
A-3,1279
Sequestration due to fertility effects,1280
Soil has a moderate om content 3.0 - 4.0 %,1281
Piping,1282
unsuited - Wet Layer,1283
Generally not suited,1284
Very Low Potential,1285
Slightly susceptible,1286
Moderately steep,1287
Depth to apparent zone of saturation,1288
Gravel in surface layer,1289
68,1290
125,1291
not limited,1292
"YES, NP(W)FSG-035 Wet, Saline",1293
Wet,1294
Coarse Unconsolidated Subclass,1295
unsuited - Depth,1296
Soil depth,1297
CTSG 2K,1298
F-3,1299
Low potential,1300
Component is a Miscellaneous Area,1301
Moderately high crusting potential,1302
"Not rated, subaqueous",1303
Winter wheat,1304
"Seepage, porous bedrock",1305
Slow percolation 20-26 inches,1306
"Pergelic, organic material >= 100 cm thick",1307
B-4,1308
pH <3.5 in 0-24 inches,1309
Permafrost between 20 and 40 inches,1310
~slope 15-35%,1311
Group 1,1312
Soluble bedrock,1313
"Slow percolation 36-60""",1314
Gypsum is more than 15 pecent  in 0 to 10-inch depth,1315
Flooding frequent or very frequent,1316
Soil Does Not Meet Prime Farmland Flooding Criteria,1317
"Not rated, component kind not interpretable",1318
Poor structure,1319
Ksat response low,1320
No large surface stones,1321
< 24 inches to bedrock,1322
Stones,1323
Slightly limited (soil morphological evaluation needed),1324
"SRB, SRE",1325
Soil has Densic Materials or high bulk densities  in the profile,1326
Moderate resistance to dust propagation,1327
150,1328
carbonate null,1329
Not rated; EC,1330
Not rated; EC or SAR,1331
"Provisionally Suitable - Fragic Layer 40-60""",1332
Concave slope shape,1333
Component kind is miscellaneous area,1334
Non Fluid,1335
Present status,1336
Shrink-swell (LEP 3-6),1337
Large rock fragments,1338
Very Low,1339
"YES, NP(W)FSG-020 Loamy, Dry-Mod. Saline",1340
Water table is 46 to 100 cm,1341
Not rated; taxonomic great group,1342
Not suited,1343
Wind Erosion,1344
Excess organic matter,1345
Small stone content,1346
Electrical conductivity limiting,1347
not suited,1348
Water table is 101 to 200 cm,1349
"YES, NP(W)FSG-009 Clayey, Saline",1350
Not rated; Fragments > 75mm,1351
Site characteristics,1352
<18 inches to cemented pan,1353
"Thin layer, <50cm",1354
Electrical conductivity somewhat  limiting,1355
Plasticity,1356
> 45% clay and firm or firmer consistence,1357
IIWr,1358
"Fast percolation 36-60""",1359
"Potential slow percolation 12-36""; see criteria",1360
poorly suited - Depth,1361
Restrictive substratum,1362
Soils Does Not Have a Suitable Drainage and Water Table,1363
Cutbanks cave,1364
Somewhat - salinity,1365
Not rated; Available water capacity,1366
unsuited - pH,1367
Not rated; Surface Fragments > 75mm,1368
"Bedrock, above 60 inches",1369
Cation exchange capacity,1370
Somewhat - erodibility by water,1371
"YES, NP(W)FSG-011 Deep Subirr, Clayey",1372
Slope is >8 to 15 percent,1373
Rare ponding,1374
"Bedrock, above 16""",1375
Number of frost-free days,1376
Moderately: Low precipitation,1377
26,1378
Adsorptive capacity due to gypsum,1379
Somewhat drought vulnerable,1380
Rooting Depth,1381
CTSG 4,1382
Low sodium,1383
not rated,1384
Moderately suitable,1385
Soil Physical Properties,1386
"Potential fast percolation 12-20""",1387
Frost-free days,1388
AWC 15 cm - 8 cm,1389
Depth to dense layer,1390
C-2,1391
Moderate mitigation,1392
Not rated; PET,1393
GrP: Gravelly pan,1394
"Not rated, flooding",1395
unsuited - Slope,1396
"Unsuitable - Group V: Rock 51-70%, Bedrock <60""",1397
Clay content of surface,1398
Oats,1399
Not assigned,1400
Organic matter content poorly suited,1401
Too many large stones,1402
Organic carbon response low,1403
Provisionally Suitable - Moderate Permeability,1404
Soil moisture,1405
"YES, NP(W)FSG-017 Loamy",1406
Rutting in July,1407
Losses due to saturation,1408
Floods,1409
Bulk density response low,1410
Too acid,1411
-UNKNOWN-,1412
Low cohesion,1413
Slow percolation 27-48 inches,1414
Silty-Clayey Sand Subgroup,1415
Rock fragment content of surface,1416
Growing season length,1417
Surface stones more than 3%,1418
Loses material,1419
Moderately limited (soil morphological evalution needed),1420
Not perudic,1421
"Unsuitable - Group IVb: <24""",1422
Deep to water,1423
Frozen soil,1424
>45% Clay,1425
Depth to perched water table,1426
Ksat 0-50cm low,1427
Not rated; AWC,1428
Soil has a moderately low om content 2.0 - 3.0 %,1429
"Reaction, Soil (pH)",1430
Suited (limitations slight to none),1431
Soil permeability over water table,1432
"Potential bedrock near 16""",1433
Restricted - Nutrient Poor Soil,1434
CTSG 10,1435
Amount of precipitation,1436
No wetness limitation,1437
1,1438
Native Veg: Mixed prairie and trees,1439
"Provisionally Suitable - Fragic Layer 0-20""",1440
Poorly Suited - Flooding,1441
Surface saturation,1442
Platy structure,1443
No root restriction observed,1444
"Not rated, climate",1445
steepness,1446
Leaching,1447
Highly suitable,1448
"YES, NP(W)FSG-008 Clayey, Mod. Saline",1449
Rock fragments on surface,1450
Restricted to Biomass Harvest,1451
"Rock fragments on surface, more than 10 inches",1452
Moderately limited (soil morphological evaluation needed),1453
60,1454
Chemical properties,1455
High shrink-swell,1456
Moderate susceptibility for littleleaf disease,1457
Not rated; % sand or clay,1458
High irrigated productivity,1459
"SAR from 0.5 - 10 to 40"" depth",1460
Bottom layer not a source,1461
Low Suitabilty,1462
Soil does not meet Prime Farmland pH Criteria,1463
Low available water capacity,1464
Rock fragments,1465
"=>50% by weight, 2mm to 3 inch fragments in 0-24 inches",1466
63,1467
Somewhat poorly suited,1468
">5 & <15% by weight, fragments >10 inches in 0-24 inches",1469
CTSG 8K,1470
Non-leaching environment,1471
Thermal stability,1472
Not rated; Surface pH,1473
"Not rated, meq",1474
"~bedrock 40-60""",1475
"FSG-NP(W)-015-Deep Subirr, Saline",1476
High silt/crusting potential,1477
Occasional or frequent flooding,1478
Moderate antecedent organic matter content,1479
ph limiting factor,1480
CTSG 1SK,1481
Soil Does Not Meet Prime Farmland Ponding Criteria,1482
No bedrock depth limitation,1483
Slope not limiting,1484
Not rated; Fragments > 250m,1485
"FSG-NP(W)-022-Loamy, Limy",1486
Group 3,1487
moderately suited - Surface fragments,1488
No cemented caliche,1489
"Too Sandy, =<5% passing the #200 sieve",1490
Somewhat - surface fragments,1491
Winter Only,1492
"YES, NP(W)FSG-031 Subirr, Loamy/Sandy",1493
WT >100cm - poorly suited,1494
72,1495
H-1,1496
CEC or ECEC is > 5 to 15,1497
CTSG 6K,1498
Not rated; AWC or moisture regime,1499
rooting depth not optimal - moderately suited,1500
"Not rated, bulk density",1501
Slow refill,1502
Moderately low PGI,1503
Surface kw times slope times R index,1504
"Not rated, FFD",1505
Sandy Silt-Clay Subgroup,1506
36,1507
Moderate PM10,1508
Slippery,1509
Exposed landform position,1510
Depth to fragipan,1511
Very Limiting,1512
34,1513
Depth to hard bedrock,1514
"not rated, map and pet",1515
Missing slope data,1516
~slope 8-10%,1517
"Depth to lithic bedrock 20 - < 40""",1518
Texture/slope/surface layer thickness,1519
Intake family 0.5,1520
Cinders or pumice content,1521
Moderate,1522
Fair,1523
"Pergelic, flood plain landform",1524
CTSG 9C,1525
Content of organic matter,1526
"YES, NP(W)FSG-013 Deep Subirr, Loamy",1527
Not very or extremely cobby or stony surface layer,1528
"Not rated, Mean annual precipitation",1529
175,1530
High bioaccumulation potential,1531
47,1532
Not Rated (low strength),1533
67,1534
Erosion Class 3 or 4,1535
Bedrock,1536
"Not rated, Ksat too slow 12-36""",1537
Summer & Winter,1538
Aluminum saturation,1539
SOC >1-10 kg/m2,1540
46,1541
Soil does not meet Prime Farmland Wetness criteria,1542
Low precipitation,1543
Low irrigated productivity,1544
Moderate salt and/or sodium content,1545
Not rated; Taxonomic Great Group,1546
Not cryic temperature regime,1547
Unsuitable - Slope >15%,1548
Very high PM2.5,1549
well suited,1550
Low salt and sodium content,1551
Unsuitable - Miscellaneous Area,1552
Intake family 3.0,1553
Ksat > 6.0 in/hr,1554
28,1555
Climate properties score,1556
"Slow percolation 12-36""; see criteria",1557
Depth to water table,1558
Group 2,1559
Not hydric soil,1560
moderately suited - EC,1561
Liquefaction below 25cm,1562
Bottom layer a poor source,1563
Slightly Gravelly Muddy Sand Subgroup,1564
Not rated; Excessive percolation,1565
Suited for crop growth,1566
Non-leaching climate,1567
Surface rock fragments,1568
OM depletion moderately high,1569
unsuited - SAR,1570
Surface fragments,1571
75,1572
Mod deep to densic,1573
E-3,1574
High inherent productivity,1575
Not rated seedling props,1576
moderately suited - Texture,1577
AWC response,1578
pH limiting factor,1579
Limiting soil features,1580
Not saline,1581
F-7,1582
Thick cemented pan less,1583
Very low PGI,1584
Subsidence risk,1585
Intake family 2.0,1586
Hardpan (Ortstein),1587
Equipment limitation (slope),1588
45%,1589
Subtract deleterious charateristics,1590
Wetness interferes with installation,1591
"YES, NP(W)FSG-022 Loamy, Limy",1592
"=>50% by weight, 2mm to 3 inch fragments in 0-36 inches",1593
Potential karst area,1594
Not Suited - >4 ds/m salinity (too salty),1595
"FSG-NP(W)-003-Clayey, Dry",1596
Water gathering,1597
"Not rated; Sieve size, 3 to 10"", > 10""",1598
Alkaline pH,1599
C drain,1600
Irrigated small grains,1601
~ponded (wetness),1602
Slippage,1603
Depth to high clay with > 60% fragments,1604
"Not rated, Ksat",1605
Very low potential water erosion,1606
Shallow to densic materials,1607
Not Rated; AWC,1608
"Too gravelly, cobbly, or stony",1609
Rock fragment content unsuited,1610
Unusable-Slope,1611
Somewhat clodding,1612
Landform: Not rated,1613
OM depletion high,1614
Fast percolation,1615
Slope * k does not meet Prime Farmland Criteria,1616
Anion exhange capacity,1617
Leaching vulnerability,1618
Slope 6-12%,1619
Not suitable,1620
"FSG-NP(W)-004-Clayey, Dry-Acid",1621
High soil temperatures,1622
High Suitability,1623
Moderate available water capacity,1624
Ksat poorly suited,1625
Too dry,1626
Steel corrosion,1627
"Saturation between 24-36"" during growing season",1628
Not Rated - missing fraggt10 & frag3to10Fragments > 250mm,1629
Not rated - missing data,1630
OM depletion moderately low,1631
Shallow,1632
High oxidation rate,1633
CTSG 1A,1634
Content of cobbles,1635
Sandy Mud Group,1636
Not rated; Slope,1637
Dense till,1638
Flash flooding = rare,1639
Somewhat: Low precipitation,1640
Infrequent flooding,1641
Presence of spodic material,1642
Low mitigation,1643
"Depth: >60""",1644
Frags: 8-15%,1645
Permafrost at less than 20 inches,1646
Flooding frequency during growing season,1647
CTSG 9W,1648
CTSG 1KK,1649
Not rated - no unified rv,1650
"Critical depth limit:<20""",1651
Low pH,1652
pH,1653
well suited - Surface fragments,1654
Rep High Class ,1655
SyO: Sandy overflow,1656
12,1657
Slow water percolation,1658
Water-holding capacity,1659
High water erosion potential,1660
Growing season length and heat,1661
Adsorptive capacity,1662
"Not rated, fragments <72 inches",1663
Very Frequent Flooding,1664
Salinity and saturated zone,1665
Moderate penetration,1666
Ksat  0.1 um/sec or less,1667
Low potential water erosion,1668
pH - poorly suited,1669
poorly suited - OM,1670
Frags: 0-8%,1671
Calcium carbonate equivalent,1672
Severely limited,1673
not suitable pH,1674
"FSG-NP(W)-030-Subirr, Limy",1675
Crusting,1676
No rock fragments,1677
"Not rated, lep",1678
WEG = 1 or 2,1679
FSG-NP(W)-025-Sandy,1680
Unusable,1681
Potential flooding,1682
CaCO3,1683
Hillslope not limiting,1684
MAAT - moderately suited,1685
Exchangeable Bases (somewhat limited),1686
"Not rated, frost-free days",1687
80,1688
Very Poorly Suited,1689
Adsorptive capacity response,1690
unsuitable pH,1691
Excess gravel,1692
Aluminum saturation limiting,1693
poorly suited - Slope,1694
Low Loading Rate,1695
Percolation,1696
Rare Flooding,1697
Hillslope,1698
Drainage not needed,1699
WT 25 - 30 cm - Somewhat Suited,1700
Well or moderately well drained,1701
Not rated; Disturbed soil condition,1702
CTSG 2H,1703
Soil is Droughty,1704
Content of gravel,1705
Silt/clay optimal,1706
"Subgelic, MAAT >= -1 degrees C",1707
Limited cover growth,1708
"Potential fast percolation >12""",1709
Needs Office Review,1710
A-2,1711
Gravelly Muddy Sand Subgroup,1712
Chemical properties score,1713
Moderately low soil temperatures,1714
Available water holding capacity,1715
Runoff,1716
Clay content - moderately suited,1717
"Not rated, Mean annual air temperature",1718
Dry,1719
"Subgelic, MAAT -3 to -1.1 degrees C, high thermal conductivity",1720
Organic oxidation resistance,1721
Mapunit Component IS a Misc. Area NOT SUITABLE FOR RATING,1722
Moderate bioaccumulation potential,1723
Very resistant,1724
<36 inches to bedrock,1725
Strength,1726
Somewhat dry climate,1727
Pesticide & nutrient mgnt,1728
Not rated; Bulk density,1729
soil organic matter >8%,1730
WLB: Wet loamy bottom,1731
Not rated - CEC/ECEC,1732
"Plantains, moderate",1733
Not Farmland of Statewide Importance,1734
If irrigated,1735
Climatic factors,1736
"FSG-NP(W)-031-Subirr, Loamy/Sandy",1737
"Available water capacity: 8-12""",1738
surface texture,1739
Soybeans,1740
"Pergelic, frequent ponding, not turf hummocks",1741
Soil reaction,1742
Texture/slope/surface layer thickness/rock fragments,1743
Corn,1744
unsuited - AWC,1745
Temperature regime,1746
Slopes 6 to 15%,1747
Moderately - sodicity,1748
too shallow for roots - not suited,1749
"YES, NP(W)FSG-028 Subirr, Acid",1750
Carbonate and gypsum content,1751
Rated Soil Order,1752
"Bedrock, above 48""",1753
LS factor,1754
Moderately - surface texture,1755
Nutrient & pesticide leaching,1756
"None, ext. brief, very brief",1757
Not hard to reclaim,1758
Water table depth,1759
> 45% Clay,1760
Fair response,1761
Somewhat - adverse pH,1762
flooding,1763
Soft bedrock,1764
Well suited - awc,1765
wetness,1766
Moderately Suited - Flooding,1767
Unsuitable - Flooding: Occasional,1768
Organic matter content,1769
Unconsolidated Mineral Substrate,1770
Depth to cemented pan is 10 to 20 inches,1771
Soil is a Histosol,1772
"Gravel-size fragments are more than 60 percent by volume, 0-30 inches depth",1773
Surface texture,1774
Thin mineral layer,1775
Very limiting (fragments),1776
Rock outcrop,1777
Very high wind erosion potential,1778
0.1,1779
170,1780
Stickiness,1781
Wind erodibility group,1782
Ponding frequency,1783
Somewhat suited - erodibility by wind,1784
Very limited (soil morphological evaluation needed),1785
Blackbrush (CORA) plant species is not present in the reference state,1786
Slope greater than 8%,1787
"AWC < 4"" to 40""",1788
Suitable - Group II,1789
Moderate shrink-swell,1790
Soluble salt content,1791
Moderately - bedrock or cementation,1792
Thin layer,1793
Sandy surface layer easily displaced,1794
Texture/rock fragments,1795
Potential karst,1796
"Plantains, moderately high",1797
Highly fragile,1798
Depth to Fragipan,1799
Water Table < 60 cm,1800
Shallow to bedrock,1801
"Suitable - Water Table: >48""",1802
Ponding greater than 7 days,1803
Exchangeable Bases  (very limited),1804
Unsuitable - Sinkhole Landform,1805
"Available water capacity, depth",1806
Ponding frequency poorly suited,1807
moderately suited - OM,1808
Precipitation,1809
Soil Has a Marginally Suitable Soil Water Content,1810
"Potential slow percolation 12-20""",1811
Carbonate content,1812
Not rated;,1813
"Not rated, steel corrosion",1814
"FSG-NP(W)-029-Subirr, Clayey",1815
Extremely low organic matter,1816
Moderate organic matter relative to clay,1817
Type of Rock,1818
Low Suitability,1819
Aluminum Saturation (Limited),1820
Water gathering surface,1821
Miscellaneous area,1822
"Provisionally Suitable - Bedrock 36-42""",1823
Slope 10 - 12%,1824
0.5,1825
Rutting in April,1826
"YES, NP(W)FSG-027 Sodic, Sodic/Saline",1827
~seepage (probable),1828
"FSG-NP(W)-019-Loamy, Dry",1829
"Permeability <=.2""/hr AND not smectitic mineralogy",1830
Seasonal high water table,1831
"Fast percolation 12-36""; must meet Ksat criteria for 36-60 inches",1832
Poor surface texture,1833
poorly suited - EC,1834
Base,1835
"10-20"" to Bedrock (Hard or Soft)",1836
Slightly Limited,1837
Boulders,1838
Too many large rock fragments,1839
Occasional Flooding,1840
Low fertility,1841
"~large stones >10"" 0-36""",1842
Pro Suitable - Group III,1843
Too sandy,1844
Content of cobbles and stones,1845
C-1,1846
Water retention difference,1847
Calcium carbonate content,1848
Intake family 1.0,1849
Low susceptibility for littleleaf disease,1850
Low sequestration potential,1851
Depth to thin cemented pan,1852
Except spring,1853
"Not rated, CEC, pH, OM",1854
">25 & <50% by weight, 3 to 10 inch fragments in 0-24 inches",1855
Very severe,1856
Restrictive horizon,1857
Restricted percolation,1858
Electrical conductivity,1859
Not rated; MAP or MAAT,1860
Vertical limitation,1861
"Bedrock, above 20""",1862
"Not rated, null hydric rating",1863
Intake family 1.5,1864
"FSG-NP(W)-024-Loamy, Saline",1865
Suitable - Flooding: Rare or very rare,1866
Content of sand,1867
"FSG-NP(W)-035-Wet, Saline",1868
Leaching deep to water,1869
moderately suited - Fragments in Top Layer,1870
Very low water storage,1871
well suited - Depth,1872
">25 & <50% by weight, 3 to 10 inch fragments in 0-36 inches",1873
Surface clay,1874
Limiting site,1875
18 to 45% Clay,1876
Not rated; Organic matter,1877
Soil organic matter < 2,1878
Hard to reclaim (rock fragments),1879
"Not rated, AWC",1880
Somewhat limited,1881
Landscape factors score,1882
"None, no permafrost",1883
Flooding hazard,1884
Suitable bedrock depth,1885
> 3% slope -  not suited,1886
Severe moisture deficit,1887
Soluble salts,1888
">5 & <15% by weight, >10 inch fragments in 0-36 inches",1889
High frost action (check lower layers),1890
Unsuitable - Flooding: Frequent or Very Frequent,1891
Provisionally Suitable - Karst Topography,1892
Compaction,1893
Rutting hazard in winter,1894
Eroded phase,1895
"SRE, M",1896
Physical limitations,1897
Extremely low potential,1898
Droughtiness,1899
"YES, NP(W)FSG-023 Loamy, Mod. Saline",1900
Excess runoff,1901
Rock fragments on surface poorly suited,1902
56,1903
None,1904
48,1905
Too sloping,1906
Clayey surface layer slippery when wet,1907
Shallow To Apparent Water,1908
Slope/erodibility,1909
"Available water capacity: <3""",1910
Very high aluminum saturation,1911
Missing ksat or mineralogy data,1912
Soil has a moderate ecec/cec 3.5 - 4.0 meq/100 g,1913
Moderately - erodibility by water,1914
"Too sandy, =>20% passing the #200 sieve",1915
105,1916
Moderate Sustainability,1917
Not rated,1918
Moderately susceptible,1919
"Not rated, open voids",1920
Not rated; Sieve #200 or PI,1921
"Provisionally Suitable - Water Table: 30-48""",1922
poorly suited - SAR,1923
Slow percolation 48-60 inches,1924
Persistent water table,1925
Low Water Erosion,1926
"Depth to any bedrock 10 - <20""",1927
Not rated; surface EC,1928
B-1,1929
Organic carbon,1930
Potential hydric soil,1931
"Not rated, Ksat too slow 12-20""",1932
0,1933
Surface stones,1934
Texture/surface depth/rock fragments,1935
Depth to restriction poorly suited,1936
Surface K-factor >.32 and slopes > 2%,1937
69,1938
Surface stones 0.5 to 3%,1939
Flood Freq: None,1940
Very low water erosion potential,1941
Cobbles,1942
Ponding,1943
Dusty,1944
Flooding frequency,1945
Hillslope position,1946
High sequestration potential,1947
Poorly resistant,1948
"YES, NP(W)FSG-049 Steep Slopes",1949
Slope poorly suited,1950
Extremely fragile,1951
"Soil structure grade, 0-12 inches",1952
Clay content - not suited,1953
Fragipan,1954
=< 10 inches to cemented pan,1955
Suited,1956
45,1957
Farmland of Statewide Importance,1958
Soil Does Not Meet Soil Temp. Criteria,1959
Very low sequestration potential,1960
Hilly to steep,1961
"FSG-NP(W)-027-Sodic, Sodic/Saline",1962
"Not rated, vegetation establishment",1963
Very dry,1964
"Not rated, stones",1965
Low intake,1966
Installation limitation,1967
Depth to bedrock; Texas CEQ site investigation  required,1968
Densic Material,1969
"Soil pH, 0 to 12 inches",1970
Too alkaline,1971
155,1972
Low,1973
Bioavailability due to attenuation by carbonates or gyp,1974
Low organic matter relative to clay,1975
Moderate slope limitation,1976
Depth to Saturation,1977
90,1978
Poor,1979
On footslopes or toeslopes,1980
High wind erosion potential,1981
Bulk density is more than 1.8 g/cm3 at depths less than 10 inches,1982
Sandy surface texture,1983
Water erosion,1984
35%,1985
Denitrification due to saturation,1986
Not saline and/or sodic,1987
Soil is Moderately Deep to Root Limiting Layer 50 - 75 cm,1988
CTSG 5KK,1989
"Root restriction 10 - <20""",1990
Landform: Footslope/Terrace,1991
Provisionally Suitable - Depressional Landform,1992
Not Suited,1993
CTSG 4CA,1994
AWC >35 cm,1995
Denial - SHWT 27 - 47 inches,1996
"YES, NP(W)FSG-019 Loamy, Dry",1997
"Subgelic, MAAT <-3 degrees C, low therm over sandy < 50 cm",1998
CTSG 6A,1999
Content of gypsum,2000
"Slow percolation 12-20""",2001
Low PGI,2002
"Potential bedrock near 60""",2003
Depth to massive bedrock,2004
"Provisionally Suitable - Bedrock 42-48""",2005
Slope is 3 percent or less,2006
Soil Chemical Properties,2007
High surface salinization risk or already saline,2008
Percs slowly,2009
">25 & <50% by weight, 2mm to 3 inch fragments in 0-36 inches",2010
Very high water erosion potential,2011
Highly susceptible,2012
Clay content,2013
Gravelly Group,2014
Large stones favorable,2015
Somewhat limited rooting depth (dense till),2016
No stoniness limitation,2017
"Not rated, pH or CEC",2018
Provisionally Suitable - Fragments 16-35%,2019
"Watertable: 6-12""",2020
Not Rated (water erosion),2021
No surface drain limitations,2022
Moderate vegetative cover,2023
Too shallow or too deep water depth,2024
Low resistance to dust propagation,2025
very low available water capacity,2026
Soil does not meet Sodicity Prime Farmland criteria,2027
CTSG 8,2028
---,2029
Moderately-high vegetative cover,2030
Slope unsuited,2031
20,2032
Moderately favorable drainage classes,2033
Low water holding capacity,2034
"Not rated, content of clay",2035
Low permeability,2036
Medium CEC/ECEC,2037
Low water erosion potential,2038
Very High,2039
"No lithic bedrock observed within 60""",2040
Suited on protected slopes otherwise poorly suited,2041
Cut banks cave,2042
Clay content - well suited,2043
pH response low,2044
"Plantains, low",2045
Denial - SHWT < 20 inches,2046
Excess surface organic matter,2047
Low soil temperature,2048
Low PM10,2049
Moderately high bioaccumulation potential,2050
Bulk density somewhat  limiting,2051
Restrictive layer,2052
Add positive characteristics,2053
